//怪物的装备exp设置DB，系统读入itemdb后，会再读入这个DB。执行@reloadjapp重读此文件。
//怪物ID,怪物名称,怪物中文名,装备经验
//ID,Name,JName,EP
1272,DARK_LORD,黑暗之王,1251
1273,ORC_LADY,兽人女战士,37
1274,MEGALITH,邪恶摩艾,110
1275,ALICE,爱丽丝,278
1276,RAYDRIC_ARCHER,幽灵弓箭手,175
1277,GREATEST_GENERAL,将军魔碑,77
1278,STALACTIC_GOLEM,钟乳巨石怪,260
1279,TRI_JOINT,三叶虫,37
1280,STEAM_GOBLIN,蒸汽哥布灵,52
1281,SAGEWORM,贤者虫,96
1282,KOBOLD_ARCHER,犬妖弓箭手,44
1283,CHIMERA,凯美拉,396
1284,HUGELING,ヒュージリング,1
1285,ARCHER_GUARDIAN,公会城弓手,405
1286,KNIGHT_GUARDIAN,公会城骑士,636
1287,SOLDIER_GUARDIAN,公会城战士,176
1288,EMPELIUM,公会石,730
1289,MAYA_PUPLE,狂暴蚁后,627
1290,SKELETON_GENERAL,邪骸战士长,466
1291,WRAITH_DEAD,狂暴恶灵,498
1292,MINI_DEMON,狂暴小恶魔,395
1293,CREMY_FEAR,狂暴克瑞米,305
1294,KILLER_MANTIS,狂暴螳螂,235
1295,OWL_BARON,鹗枭男爵,527
1296,KOBOLD_LEADER,犬妖首领,342
1297,ANCIENT_MUMMY,狂暴木乃伊,339
1298,ZOMBIE_MASTER,腐尸首领,308
1299,GOBLIN_LEADER,哥布灵首领,317
1300,CATERPILLAR,狂暴绿绵虫,325
1301,AM_MUT,狂暴小土人,296
1302,DARK_ILLUSION,迷幻之王,559
1303,GIANT_HONET,狂暴蜂兵,228
1304,GIANT_SPIDER,狂暴蜘蛛,222
1305,ANCIENT_WORM,狂暴蜈蚣,380
1306,LEIB_OLMAI,狂暴大脚熊,250
1307,CAT_O_NINE_TAIL,狂暴月夜猫,540
1308,PANZER_GOBLIN,狂暴哥布灵,271
1309,GAJOMART,狂暴鬼火,314
1310,MAJORUROS,狂暴米诺斯,370
1311,GULLINBURSTI,狂暴野猪,293
1312,TURTLE_GENERAL,乌龟将军,1099
1313,MOBSTER,流氓,268
1314,PERMETER,果树龟,288
1315,ASSULTER,风灵龟,408
1316,SOLIDER,岩石龟,386
1317,FUR_SEAL,海豹宝宝,287
1318,HEATER,火焰龟,355
1319,FREEZER,水灵龟,412
1320,OWL_DUKE,鹗枭首领,493
1321,DRAGON_TAIL,刺尾蜻蜓,261
1322,SPRING_RABBIT,弹簧兔,233
1323,SEE_OTTER,海獭,237
1324,TREASURE_BOX1,宝箱(钟楼1-1),1
1325,TREASURE_BOX2,宝箱(钟楼1-2),1
1326,TREASURE_BOX3,宝箱(钟楼2-1),1
1327,TREASURE_BOX4,宝箱(钟楼2-2),1
1328,TREASURE_BOX5,宝箱(钟楼3-1),1
1329,TREASURE_BOX6,宝箱(钟楼3-2),1
1330,TREASURE_BOX7,宝箱(钟楼4-1),1
1331,TREASURE_BOX8,宝箱(钟楼4-2),1
1332,TREASURE_BOX9,宝箱(钟楼5-1),1
1333,TREASURE_BOX10,宝箱(钟楼5-2),1
1334,TREASURE_BOX11,宝箱(吉芬1-1),1
1335,TREASURE_BOX12,宝箱(吉芬1-2),1
1336,TREASURE_BOX13,宝箱(吉芬2-1),1
1337,TREASURE_BOX14,宝箱(吉芬2-2),1
1338,TREASURE_BOX15,宝箱(吉芬3-1),1
1339,TREASURE_BOX16,宝箱(吉芬3-2),1
1340,TREASURE_BOX17,宝箱(吉芬4-1),1
1341,TREASURE_BOX18,宝箱(吉芬4-2),1
1342,TREASURE_BOX19,宝箱(吉芬5-1),1
1343,TREASURE_BOX20,宝箱(吉芬5-2),1
1344,TREASURE_BOX21,宝箱(斐扬1-1),1
1345,TREASURE_BOX22,宝箱(斐扬1-2),1
1346,TREASURE_BOX23,宝箱(斐扬2-1),1
1347,TREASURE_BOX24,宝箱(斐扬2-2),1
1348,TREASURE_BOX25,宝箱(斐扬3-1),1
1349,TREASURE_BOX26,宝箱(斐扬3-2),1
1350,TREASURE_BOX27,宝箱(斐扬4-1),1
1351,TREASURE_BOX28,宝箱(斐扬4-2),1
1352,TREASURE_BOX29,宝箱(斐扬5-1),1
1353,TREASURE_BOX30,宝箱(斐扬5-2),1
1354,TREASURE_BOX31,宝箱(首都1-1),1
1355,TREASURE_BOX32,宝箱(首都1-2),1
1356,TREASURE_BOX33,宝箱(首都2-1),1
1357,TREASURE_BOX34,宝箱(首都2-2),1
1358,TREASURE_BOX35,宝箱(首都3-1),1
1359,TREASURE_BOX36,宝箱(首都3-2),1
1360,TREASURE_BOX37,宝箱(首都4-1),1
1361,TREASURE_BOX38,宝箱(首都4-2),1
1362,TREASURE_BOX39,宝箱(首都5-1),1
1363,TREASURE_BOX40,宝箱(首都5-2),1
1364,G_ASSULTER,忍者龟,205
1365,APOCALIPS,阿修罗机械战士,364
1366,LAVA_GOLEM,熔岩巨石怪,526
1367,BLAZZER,火焰妖,113
1368,GEOGRAPHER,邪恶向日葵,207
1369,GRAND_PECO,七彩大嘴鸟,220
1370,SUCCUBUS,恶魔女仆,679
1371,FAKE_ANGEL,伪天使,310
1372,GOAT,魔羌,364
1373,LORD_OF_DEATH,死灵骑士,1995
1374,INCUBUS,恶魔侍者,485
1375,THE_PAPER,纸妖,208
1376,HARPY,鸟人哈比,381
1377,ELDER,邪灵魔导士,323
1378,DEMON_PUNGUS,天邪鬼,209
1379,NIGHTMARE_TERROR,七彩梦魇,548
1380,DRILLER,狂暴伞蜥,174
1381,GRIZZLY,爆焰野熊,350
1382,DIABOLIC,赤焰小恶魔,340
1383,EXPLOSION,爆炎蝙蝠,124
1384,DELETER,七彩飞龙,324
1385,DELETER_,七彩地龙,311
1386,SLEEPER,沙妖,339
1387,GIG,沙漠毒蝎,256
1388,ARCHANGELING,圣天使波利,258
1389,DRACULA,德古拉男爵,1674
1390,VIOLY,薇欧莉,488
1391,GALAPAGO,啤酒企鹅,261
1392,ROTAR_ZAIRO,直升机哥布灵,19
1393,G_MUMMY,木乃伊_,51
1394,G_ZOMBIE,腐尸_,3
1395,CRYSTAL_1,橙水晶,1
1396,CRYSTAL_2,绿水晶,1
1397,CRYSTAL_3,红水晶,1
1398,CRYSTAL_4,蓝水晶,1
1399,EVENT_BAPHO,周年庆巴风特,5305
1400,KARAKASA,伞妖,32
1401,SHINOBI,火忍西怒毕,382
1402,POISON_TOAD,牛蛙,120
1403,ANTIQUE_FIRELOCK,武士火枪兵,119
1404,MIYABI_NINGYO,米雅毕,44
1405,TENGU,天狗,322
1406,KAPHA,钓鱼河童,94
1407,DOKEBI_,狂暴小土人,36
1408,BLOOD_BUTTERFLY,血腥蝴蝶,191
1409,RICE_CAKE_BOY,元宵童子,22
1410,LIVE_PEACH_TREE,猴桃木,178
1412,EVIL_CLOUD_HERMIT,恶云仙人,222
1413,WILD_GINSENG,人参精,109
1415,BABY_LEOPARD,小花豹,36
1416,WICKED_NYMPH,妖仙女,294
1417,ZIPPER_BEAR,拉链熊,47
1418,DARK_SNAKE_LORD,墨蛇君,737
1419,G_FARMILIAR,吸血蝙蝠_,1
1420,G_ARCHER_SKELETON,邪骸弓箭手_,30
1421,G_ISIS,蛇女伊丝_,80
1422,G_HUNTER_FLY,赤苍蝇_,74
1423,G_GHOUL,绿腐尸_,59
1424,G_SIDE_WINDER,黑蛇_,80
1425,G_OBEAUNE,人鱼_,30
1426,G_MARC,马克_,47
1427,G_NIGHTMARE,梦魇_,118
1428,G_POISON_SPORE,毒魔菇_,7
1429,G_ARGIOPE,艾吉欧蜈蚣_,69
1430,G_ARGOS,艾斯蜘蛛_,16
1431,G_BAPHOMET_,小巴风特_,125
1432,G_DESERT_WOLF,沙漠之狼_,20
1433,G_DEVIRUCHI,小恶魔_,97
1434,G_DRAINLIAR,红蝙蝠_,14
1435,G_EVIL_DRUID,闇神官_,195
1436,G_JAKK,南瓜先生_,55
1437,G_JOKER,裘卡_,185
1438,G_KHALITZBURG,卡利斯格_,250
1439,G_HIGH_ORC,兽人战士长_,141
1440,G_STEM_WORM,灰森灵_,64
1441,G_PENOMENA,梅纳海葵_,185
1442,G_SASQUATCH,雪熊_,27
1443,G_CRUISER,玩具士兵_,43
1444,G_CHEPET,魔灵娃娃_,74
1445,G_RAGGLER,奈吉鸟_,9
1446,G_INJUSTICE,邪恶使者_,133
1447,G_GRYPHON,狮鹰兽_,373
1448,G_DARK_FRAME,镜妖_,205
1449,G_MUTANT_DRAGON,半龙人_,275
1450,G_WIND_GHOST,风魔巫师_,133
1451,G_MERMAN,人鱼士兵_,149
1452,G_ORC_LADY,兽人女战士_,30
1453,G_RAYDRIC_ARCHER,幽灵弓箭手_,141
1454,G_TRI_JOINT,三叶虫_,33
1455,G_KOBOLD_ARCHER,犬妖弓箭手_,36
1456,G_CHIMERA,凯美拉_,343
1457,G_MANTIS,螳螂_,18
1458,G_MARDUK,马尔杜克_,64
1459,G_MARIONETTE,傀儡娃娃_,69
1460,G_MATYR,黑狐_,30
1461,G_MINOROUS,米洛斯_,141
1462,G_ORC_SKELETON,邪骸兽人_,22
1463,G_ORC_ZOMBIE,兽人腐尸_,14
1464,G_PASANA,帕莎纳_,227
1465,G_PETIT,毕帝特地龙_,85
1466,G_PETIT_,毕帝特飞龙_,91
1467,G_RAYDRIC,幽灵剑士_,141
1468,G_REQUIEM,诺可伊_,43
1469,G_SKEL_WORKER,邪骸矿工_,27
1470,G_ZEROM,杰洛米_,12
1471,G_NINE_TAIL,九尾狐_,133
1472,G_BON_GUN,妖道_,33
1473,G_ORC_ARCHER,兽人弓箭手_,118
1474,G_MIMIC,邪恶箱_,133
1475,G_WRAITH,恶灵_,149
1476,G_ALARM,钟怪_,195
1477,G_ARCLOUSE,卷甲虫_,205
1478,G_RIDEWORD,飞行魔书_,205
1479,G_SKEL_PRISONER,邪骸战俘_,141
1480,G_ZOMBIE_PRISONER,腐尸战俘_,149
1481,G_PUNK,朽魔_,80
1482,G_ZHERLTHSH,艾斯恩魔女_,250
1483,G_RYBIO,里毕欧_,358
1484,G_PHENDARK,电精_,389
1485,G_MYSTELTAINN,弑神者_,439
1486,G_TIRFING,兽牙怪_,358
1487,G_EXECUTIONER,行刑者_,275
1488,G_ANOLIAN,虎蜥人_,250
1489,G_STING,史汀_,227
1490,G_WANDER_MAN,邪骸浪人_,405
1491,G_DOKEBI,土人_,36
1492,INCANTATION_SAMURAI,怨灵武士,700
1493,DRYAD,森林妖姬,153
1494,KIND_OF_BEETLE,巨象甲虫,47
1495,STONE_SHOOTER,石炮火树,87
1497,WOODEN_GOLEM,机木人,155
1498,WOOTAN_SHOOTER,伍坦弹弓手,68
1499,WOOTAN_FIGHTER,伍坦战士,86
1500,PARASITE,苗娃佩瑞丝,135
1502,PORING_V,火焰波利,1738
1503,GIBBET,鬼娃树,234
1504,DULLAHAN,无颅武士,288
1505,LOLI_RURI,罗莉鲁莉,431
1506,DISGUISE,假面鬼,198
1507,BLOODY_MURDERER,嗜血怪人,462
1508,QUVE,万圣魔,69
1509,LUDE,南瓜魂,51
1510,HYLOZOIST,兔斯拉,157
1511,AMON_RA,阿门拉,1503
1512,HYEGUN,妖君,197
1513,CIVIL_SERVANT,狐仙,283
1514,DANCING_DRAGON,舞狮,183
1515,GARM_BABY,卡仑宝宝,254
1516,INCREASE_SOIL,米糕,165
1517,LI_ME_MANG_RYANG,豹皮怪,132
1518,BACSOJIN,白素贞,422
1519,CHUNG_E,小青,140
1520,BOILED_RICE,肉粽怪,4
1521,G_ALICE,爱丽丝_,238
1522,G_ANCIENT_MUMMY,狂暴木乃伊_,262
1523,G_ANTIQUE_FIRELOCK,武士火枪兵_,104
1524,G_BABY_LEOPARD,小花豹_,33
1525,G_BATHORY,巫婆_,85
1526,G_BLOOD_BUTTERFLY,血腥蝴蝶_,166
1527,G_C_TOWER_MANAGER,钟塔守护者_,250
1528,G_CLOCK,古钟魔_,216
1529,G_DARK_SNAKE_LORD,墨蛇君_,389
1530,G_DRACULA,德古拉男爵_,614
1531,G_EVIL_CLOUD_HERMIT,恶云仙人_,185
1532,G_EXPLOSION,爆炎蝙蝠_,97
1533,G_FUR_SEAL,海豹宝宝_,250
1534,G_GOBLIN_1,刺刀哥布灵(长男)_,16
1535,G_GOBLIN_2,链锤哥布灵(次男)_,14
1536,G_GOBLIN_3,大斧哥布灵(三男)_,14
1537,G_GOBLIN_4,榔头哥布灵(四男)_,12
1538,G_GOBLIN_5,刺锤哥布灵(五男)_,11
1539,G_GOBLIN_LEADER,哥布灵首领_,262
1540,G_GOLEM,巨石怪_,16
1541,G_GREATEST_GENERAL,将军魔碑_,64
1542,G_INCANTATION_SAMURAI,怨灵武士_,358
1543,G_KAPHA,钓鱼河童_,69
1544,G_KARAKASA,伞妖_,27
1545,G_KOBOLD_1,大斧犬妖(长男)_,47
1546,G_KOBOLD_2,榔头犬妖(次男)_,30
1547,G_KOBOLD_3,刺锤犬妖(三男)_,30
1548,G_KOBOLD_LEADER,犬妖首领_,275
1549,G_LAVA_GOLEM,熔岩巨石怪_,457
1550,G_LIVE_PEACH_TREE,猴桃木_,149
1551,G_MARSE,乌贼_,30
1552,G_MIYABI_NINGYO,米雅毕_,36
1553,G_MYST,麦斯特_,55
1554,G_NIGHTMARE_TERROR,七彩梦魇_,475
1555,G_PARASITE,苗娃佩瑞丝_,118
1556,G_POISON_TOAD,牛蛙_,97
1557,G_ROTAR_ZAIRO,直升机哥布灵_,16
1558,G_SAND_MAN,泥人_,39
1559,G_SCORPION,蝎子_,14
1560,G_SHINOBI,火忍西怒毕_,329
1561,G_SMOKIE,狸猫_,6
1562,G_SOLDIER_SKELETON,邪骸士兵_,24
1563,G_TENGU,天狗_,275
1564,G_WICKED_NYMPH,妖仙女_,250
1565,G_WILD_GINSENG,人参精_,97
1566,G_WRAITH_DEAD,狂暴恶灵_,405
1567,G_ANCIENT_WORM,狂暴蜈蚣_,301
1568,G_ANGELING,天使波利_,8
1569,G_BLOODY_KNIGHT,血腥骑士_,551
1570,G_CRAMP,蓝鼠_,176
1571,G_DEVIACE,狄奥斯_,104
1572,G_DROPS,土波利_,1
1573,G_ELDER,邪灵魔导士_,262
1574,G_ELDER_WILOW,长老树精_,8
1575,G_FLORA,噬人花_,18
1576,G_GHOSTRING,幽灵波利_,6
1577,G_GOBLIN_ARCHER,哥布灵弓箭手_,22
1578,G_HORONG,鬼火_,39
1579,G_HYDRA,海葵_,3
1580,G_INCUBUS,恶魔侍者_,422
1581,G_VOCAL,摇滚蝗虫王_,6
1582,DEVILING,恶魔波利,34
1583,TAO_GUNKA,塔奥群卡,807
1584,TAMRUAN,塔姆庵,166
1585,MIME_MONKEY,哑剧猴,1
1586,LEAF_CAT,生叶片猫,64
1587,KRABEN,克拉本,135
1588,ORC_XMAS,圣诞兽人,17
1589,G_MANDRAGORA,曼陀罗魔花_,2
1590,G_GEOGRAPHER,邪恶向日葵_,176
1591,A_LUNATIC,疯兔_,1
1592,A_MOBSTER,流氓_,64
1593,A_ANCIENT_MUMMY,狂暴木乃伊_,262
1594,G_FREEZER,水灵龟_,373
1595,G_MARIN,冰波利_,3
1596,G_TAMRUAN,塔姆庵_,141
1597,G_GARGOYLE,蝙蝠弓箭手_,111
1598,G_BLAZZER,火焰妖_,80
1599,G_WHISPER_BOSS,巨大白幽灵_,39
1600,G_HEATER,火焰龟_,314
1601,G_PERMETER,果树龟_,250
1602,G_SOLIDER,岩石龟_,343
1603,G_BIGFOOT,大脚熊_,16
1604,G_GIANT_HONET,狂暴蜂兵_,176
1605,G_DARK_ILLUSION,迷幻之王_,457
1606,G_GARM_BABY,卡仑宝宝_,227
1607,G_GOBLINE_XMAS,圣诞哥布灵_,16
1608,G_THIEF_BUG,盗虫_,7
1609,G_DANCING_DRAGON,舞狮_,157
1610,A_MUNAK,殭尸_,27
1611,A_BON_GUN,妖道_,33
1612,A_HYEGUN,妖君_,176
1613,METALING,金属波利,23
1614,MINERAL,矿石魔,211
1615,OBSIDIAN,黑曜石,156
1616,PITMAN,矿工魔,99
1617,WASTE_STOVE,废铁暖炉,351
1618,UNGOLIANT,温古力安特,384
1619,PORCELLIO,三叶铁甲虫,28
1620,NOXIOUS,废气魔,52
1621,VENOMOUS,毒气魔,94
1622,TEDDY_BEAR,玩偶熊,420
1623,RSX_0806,RSX-0806,1056
1624,G_WASTE_STOVE,废铁暖炉,314
1625,G_PORCELLIO,三叶铁甲虫,80
1626,G_DARK_PRIEST,暗黑祭司_,681
1627,ANOPHELES,疟蚊,13
1628,MOLE,鼹鼠,50
1629,HILL_WIND,希尔士兵,99
1630,BACSOJIN_,白素贞,1025
1631,CHUNG_E_,小青,240
1632,GREMLIN,小妖精,190
1633,BEHOLDER,恶魔之眼,233
1634,SEYREN,闇●骑士领主,2197
1635,EREMES,闇●十字刺客,1991
1636,HARWORD,闇●神工匠,1989
1637,MAGALETA,闇●神官,2181
1638,SHECIL,闇●神射手,2006
