// skill_db.txt, Skills Database
//
// Structure of Database:
//
// ID,Range,Hit,Target,Element,SkillInfo1,MaxLv,ListNum,CastCancel,CastDefRate,SkillInfo2,MaxCount,SkillType,BlowCount
//
// 01 Skill ID
// 02 Range: Described In Cells
// 03 Hit: 8-Repeated Hitting, 6-Single-Hit
// 04 Target: 0-Passive, 1-Enemy, 2-Place, 4-Self, 16-Friend, 32-Trap
// 05 Element: 0-Nothing, 1-Water, 2-Earth, 3-Fire, 4-Wind, 5-Poison, 6-Holy, 7-Dark, 8-Sense, 9-Immortal
// 06 Skill Information #1: 0-Normal Skill, 1-No Damage Skill, 2-Splash Damage Skill
// 07 Maximum Skill Level
// 08 Hit Frequency: Number of Hits The Skill Does
// 09 Cast Cancelled: Cancelled-1, Not Cancelled-0
// 10 Ratio of The Defensive Power Which Decreases In 10 Castings (Defense-Reduction Rate During Cast)
// 11 Skill Information #2: 1-Quest Skill, 2-Npc Skill, 4-Wedding Skill
//    8-Spirit Skill, 16-Guild Skill, 32-Song/Dance, 64-Ensemble Skill
//    128-Trap (Targetable), 256-Skill That Damages/Targets Yourself
//    512-Cannot Be Casted On Self (if 06 = 4, auto-select target skill)
// 12 Attack Type: None, Weapon, Magic, Misc
// 13 Blowcount Amount of Tiles The Skill Knockbacks
//
// Note: Delete 7th entry when importing from eAthena
//

// First Class Skills
1,0,0,0,0,0,9,0,no,0,0,0,none,0	//NV_BASIC#Basic Skills#
64,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//KN_CAVALIERMASTERY#Cavalier Mastery#
65,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//PR_MACEMASTERY#Mace Mastery#
66,9,6,16,0,1,5,1,yes,0,0,0,magic,0	//PR_IMPOSITIO#Impositio Manus#
67,9,6,16,0,1,3,1,yes,0,512,0,magic,0	//PR_SUFFRAGIUM#Suffragrium#
68,9,6,16,6,1,5,1,yes,0,0,0,magic,0	//PR_ASPERSIO#Aspersio#
69,9,6,2,0,1,5,1,yes,0,0,0,magic,0	//PR_BENEDICTIO#B.S Sacramenti#
70,9,6,2,6,1,10,1,yes,0,0,0,magic,2	//PR_SANCTUARY#Sanctuary#
71,9,6,16,0,1,4,1,yes,0,0,0,magic,0	//PR_SLOWPOISON#Slow Poison#
72,9,6,16,0,1,1,1,yes,0,0,0,magic,0	//PR_STRECOVERY#Status Recovery#
73,9,6,16,0,1,10,1,yes,0,0,0,magic,0	//PR_KYRIE#Kyrie Eleison#
74,0,6,4,0,1,5,1,yes,0,0,0,magic,0	//PR_MAGNIFICAT#Magnificat#
75,0,6,4,0,1,5,1,yes,0,0,0,magic,0	//PR_GLORIA#Gloria#
76,5,6,1,0,1,10,0,yes,0,0,0,magic,0	//PR_LEXDIVINA#Lex Divina#
77,5,6,1,6,0,10,1,yes,0,0,0,magic,0	//PR_TURNUNDEAD#Turn Undead#
78,9,6,1,0,1,1,0,yes,0,0,0,magic,0	//PR_LEXAETERNA#Lex Aeterna#
79,3,8,2,6,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//PR_MAGNUS#Magnus Exorcismus#
80,9,8,2,3,0,10,3:4:5:6:7:8:9:10:11:12,yes,0,128,5,magic,0	//WZ_FIREPILLAR#Fire Pillar#
81,0,6,4,3,0,10,1,yes,0,0,0,magic,5	//WZ_SIGHTRASHER#Sighthrasher#
//82,8,6,2,3,0,10,1,yes,0,0,0,magic,0	//WZ_FIREIVY#Fire Ivy#
83,9,8,2,3,0,10,1:1:2:2:3:3:4:4:5:5,yes,0,0,0,magic,0	//WZ_METEOR#Meteor Storm#
84,9,8,1,4,0,10,3:4:5:6:7:8:9:10:11:12:30:32,yes,0,0,0,magic,2:3:3:4:4:5:5:6:6:7:7:14	//WZ_JUPITEL#Jupitel Thunder#
85,9,8,2,4,0,10,10,yes,0,0,0,magic,0	//WZ_VERMILION#Lord of Vermilion#
86,9,8,1,1,0,5,1,yes,0,0,0,magic,0	//WZ_WATERBALL#Water Ball#
87,9,6,2,1,0,10,1,yes,0,0,0,magic,0	//WZ_ICEWALL#Ice Wall#
88,9,6,4,1,0,10,1,yes,0,0,0,magic,0	//WZ_FROSTNOVA#Frost Nova#
89,9,6,2,1,0,10,1,yes,0,0,0,magic,2	//WZ_STORMGUST#Storm Gust#
90,9,8,1,2,0,5,1:2:3:4:5,yes,0,0,0,magic,0	//WZ_EARTHSPIKE#Earth Spike#
91,9,8,2,2,0,5,1:2:3:4:5,yes,0,0,0,magic,0	//WZ_HEAVENDRIVE#Heaven's Drive#
92,9,6,2,2,1,5,1,yes,0,128,3,magic,0	//WZ_QUAGMIRE#Quagmire#
93,9,6,1,0,1,1,1,yes,0,0,0,magic,0	//WZ_ESTIMATION#Sense#
94,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_IRON#Iron Tempering#
95,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_STEEL#Steel Tempering#
96,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_ENCHANTEDSTONE#Enchanted Stone Craft#
97,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_ORIDEOCON#Oridecon Research#
98,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_DAGGER#Smith Dagger#
99,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_SWORD#Smith Sword#
100,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_TWOHANDSWORD#Smith Two-Handed Sword#
101,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_AXE#Smith Axe#
102,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_MACE#Smith Mace#
103,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_KNUCKLE#Smith Knucklebrace#
104,0,0,0,0,0,3,0,no,0,0,0,weapon,0	//BS_SPEAR#Smith Spear#
105,0,0,0,0,0,1,0,no,0,0,0,weapon,0	//BS_HILTBINDING#Hilt Blinding#
106,0,0,0,0,0,1,0,no,0,0,0,weapon,0	//BS_FINDINGORE#Ore Discovery#
107,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//BS_WEAPONRESEARCH#Weaponry Research#
108,3,6,16,0,1,1,1,no,0,0,0,weapon,0	//BS_REPAIRWEAPON#Weapon Repair#
109,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//BS_SKINTEMPER#Skin Tempering#
110,1,6,2,0,1,5,1,no,0,0,0,weapon,0	//BS_HAMMERFALL#Hammerfall#
111,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//BS_ADRENALINE#Adrenaline Rush#
112,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//BS_WEAPONPERFECT#Weapon Perfection#
113,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//BS_OVERTHRUST#Power-Thrust#
114,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//BS_MAXIMIZE#Maximize Power#
115,3,6,2,0,1,5,1,no,0,128,0,misc,6:7:8:9:10	//HT_SKIDTRAP#Skid Trap#
116,3,6,2,2,1,5,1,no,0,128,0,misc,0	//HT_LANDMINE#Land Mine#
117,3,6,2,0,1,5,1,no,0,128,0,misc,0	//HT_ANKLESNARE#Ankle Snare#
118,3,6,2,0,1,5,1,no,0,128,0,misc,0	//HT_SHOCKWAVE#Shockwave Trap#
119,3,6,2,0,1,5,1,no,0,128,0,misc,0	//HT_SANDMAN#Sandman#
120,3,6,2,0,1,5,1,no,0,128,0,misc,0	//HT_FLASHER#Flasher#
121,3,6,2,1,1,5,1,no,0,128,0,misc,0	//HT_FREEZINGTRAP#Freezing Trap#
122,3,6,2,4,1,5,1,no,0,128,0,misc,0	//HT_BLASTMINE#Blast Mine#
123,3,6,2,3,1,5,1,no,0,128,0,misc,0	//HT_CLAYMORETRAP#Claymore Trap#
124,2,6,32,0,1,1,1,no,0,0,0,misc,0	//HT_REMOVETRAP#Remove Trap#
125,3,6,2,0,1,1,1,no,0,0,0,misc,0	//HT_TALKIEBOX#Talkie Box#
126,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//HT_BEASTBANE#Beast Bane#
127,0,0,0,0,0,1,0,no,0,0,0,misc,0	//HT_FALCON#Falcon Mastery#
128,0,0,0,0,0,10,0,no,0,0,0,misc,0	//HT_STEELCROW#Steel Crow#
129,5,8,1,0,0,5,1:2:3:4:5,yes,0,0,0,misc,0	//HT_BLITZBEAT#Blitz Beat#
130,3:5:7:9,6,2,0,1,4,1,no,0,0,0,misc,0	//HT_DETECTING#Detect#
131,4:5:6:7:8,6,32,0,1,5,1,no,0,0,0,misc,0	//HT_SPRINGTRAP#Spring Trap#
132,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//AS_RIGHT#Right-Hand Mastery#
133,0,0,0,0,0,5,0,no,0,0,0,weapon,0	//AS_LEFT#Left-Hand Mastery#
134,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AS_KATAR#Katar Mastery#
135,0,6,4,0,1,10,1,no,0,0,0,weapon,0	//AS_CLOAKING#Cloaking#
136,1,8,1,0,0,10,8,no,0,0,0,weapon,0	//AS_SONICBLOW#Sonic Blow#
137,3:4:5:6:7,6,1,0,0,5,1,no,0,0,0,weapon,0	//AS_GRIMTOOTH#Grimtooth#
138,1,6,16,5,1,10,1,no,0,1024,0,weapon,0	//AS_ENCHANTPOISON#Enchant Poison#
139,0,6,4,5,1,10,1,no,0,0,0,weapon,0	//AS_POISONREACT#Poison React#
140,2,6,2,5,1,10,1,no,0,0,0,weapon,0	//AS_VENOMDUST#Venom Dust#
141,1,6,1,0,1,10,1,yes,0,0,0,weapon,0	//AS_SPLASHER#Venom Splasher#

// First Class Quest Skills
142,0,6,4,0,1,1,1,no,0,1,0,none,0	//NV_FIRSTAID#First Aid#
143,0,6,4,0,1,1,1,no,0,1,0,none,0	//NV_TRICKDEAD#Act Dead#
144,0,0,0,0,0,1,0,no,0,1,0,none,0	//SM_MOVINGRECOVERY#Moving HP-Recovery#
145,0,0,0,0,0,1,0,no,0,1,0,weapon,0	//SM_FATALBLOW#Attack Weak Point#
146,0,6,4,0,1,1,1,no,0,1,0,weapon,0	//SM_AUTOBERSERK#Auto-Berserk#
147,0,0,4,0,1,1,0,no,0,1,0,weapon,0	//AC_MAKINGARROW#Arrow Crafting#
148,-9,6,1,-1,2,1,1,no,0,1,0,weapon,6	//AC_CHARGEARROW#Arrow Repel#
149,1,6,1,2,0,1,1,no,0,1,0,weapon,0	//TF_SPRINKLESAND#Throw Sand#
150,0,6,4,0,1,1,1,no,0,1,0,weapon,5	//TF_BACKSLIDING#Back Sliding#
151,0,6,4,0,1,1,1,no,0,1,0,none,0	//TF_PICKSTONE#Find Stone#
152,7,6,1,0,0,1,1,no,0,1,0,misc,0	//TF_THROWSTONE#Stone Fling#
153,1,6,1,0,2,1,1,no,0,1,0,weapon,2	//MC_CARTREVOLUTION#Cart Revolution#
154,0,6,4,0,1,1,1,no,0,1,0,none,0	//MC_CHANGECART#Change Cart#
155,0,6,4,0,1,1,1,no,0,1,0,weapon,0	//MC_LOUD#Crazy Uproar#
156,9,6,1,6,0,1,1,yes,0,1,0,magic,0	//AL_HOLYLIGHT#Holy Light#
157,0,6,4,0,1,1,1,yes,0,1,0,magic,0	//MG_ENERGYCOAT#Energy Coat#

// Server/NPC Skills
158,3,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_PIERCINGATT#Piercing Attack#
159,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_MENTALBREAKER#Mental Breaker#
160,9,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_RANGEATTACK#Ranged Attack#
161,0,0,4,0,1,10,1,no,0,2,0,magic,0	//NPC_ATTRICHANGE#Attribute Change#
162,0,0,4,1,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEWATER#Change Water Element#
163,0,0,4,2,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEGROUND#Change Earth Element#
164,0,0,4,3,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEFIRE#Change Fire Element#
165,0,0,4,4,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEWIND#Change Wind Element#
166,0,0,4,5,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEPOISON#Change Poison Element#
167,0,0,4,6,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEHOLY#Change Holy Element#
168,0,0,4,7,1,10,1,no,0,2,0,magic,0	//NPC_CHANGEDARLNESS#Change Dark Element#
169,0,0,4,8,1,10,1,no,0,2,0,magic,0	//NPC_CHANGETELEKINESIS#Change Ghost Element#
170,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_CRITICALSLASH#Critical Slash#
171,-1,8,1,0,0,10,2:3:4:5:6:7:8:9:10:11,no,0,2,0,weapon,0	//NPC_COMBOATTACK#Combo Attack#
172,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_GUIDEATTACK#Guided Attack#
173,1,6,4,3,1,10,1,no,0,2,0,misc,3	//NPC_SELFDESTRUCTION#Self-Destruction#
174,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_SPLASHATTACK#Splash Attack#
175,0,0,4,0,1,10,1,no,0,2,0,misc,0	//NPC_SUICIDE#Suicide#
176,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_POISON#Poison Attack#
177,7,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_BLINDATTACK#Blind Attack#
178,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_SILENCEATTACK#Silence Attack#
179,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_STUNATTACK#Stun Attack#
180,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_PETRIFYATTACK#Petrify Attack#
181,7,6,1,7,0,10,1,no,0,2,0,weapon,0	//NPC_CURSEATTACK#Curse Attack#
182,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_SLEEPATTACK#Sleep Attack#
183,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_RANDOMATTACK#Random Attack#
184,-1,6,1,1,0,10,1,no,0,2,0,weapon,0	//NPC_WATERATTACK#Water Element Attack#
185,-1,6,1,2,0,10,1,no,0,2,0,weapon,0	//NPC_GROUNDATTACK#Earth Element Attack#
186,-1,6,1,3,0,10,1,no,0,2,0,weapon,0	//NPC_FIREATTACK#Fire Element Attack#
187,-1,6,1,4,0,10,1,no,0,2,0,weapon,0	//NPC_WINDATTACK#Wind Element Attack#
188,-1,6,1,5,0,10,1,no,0,2,0,weapon,0	//NPC_POISONATTACK#Poison Element Attack#
189,-1,6,1,6,0,10,1,no,0,2,0,weapon,0	//NPC_HOLYATTACK#Holy Element Attack#
190,-1,6,1,7,0,10,1,no,0,2,0,weapon,0	//NPC_DARKNESSATTACK#Dark Element Attack#
191,-1,6,1,8,0,10,1,no,0,2,0,weapon,0	//NPC_TELEKINESISATTACK#Ghost Element Attack#
192,-1,6,1,0,0,10,1,no,0,2,0,weapon,0	//NPC_MAGICALATTACK#Magical Attack#
193,0,0,4,0,1,10,1,no,0,2,0,none,0	//NPC_METAMORPHOSIS#Metamorphosis#
194,0,0,4,0,1,10,1,no,0,2,0,none,0	//NPC_PROVOCATION#Provocation#
195,0,6,4,0,0,10,1,no,0,2,0,misc,0	//NPC_SMOKING#Smoking#
196,0,0,4,0,1,10,1,no,0,2,0,magic,0	//NPC_SUMMONSLAVE#Summon Slave#
197,0,0,4,0,1,10,1,no,0,2,0,none,0	//NPC_EMOTION#Emotion#
198,0,0,4,0,1,10,1,no,0,2,0,magic,0	//NPC_TRANSFORMATION#Transformation#
199,7,6,1,7,0,10,1,no,0,2,0,weapon,0	//NPC_BLOODDRAIN#Blood Drain#
200,7,6,1,7,0,10,1,no,0,2,0,magic,0	//NPC_ENERGYDRAIN#Energy Drain#
201,0,0,4,0,1,10,1,no,0,2,0,weapon,0	//NPC_KEEPING#Keeping#
202,2,6,1,7,0,10,1,no,0,2,0,misc,0	//NPC_DARKBREATH#Dark Breath#
203,1,6,1,7,1,10,1,no,0,2,0,magic,0	//NPC_DARKBLESSING#Dark Blessing (Coma)#
204,0,0,4,0,1,10,1,no,0,2,0,magic,0	//NPC_BARRIER#Barrier#
205,0,0,4,0,1,10,1,no,0,2,0,weapon,0	//NPC_DEFENDER#Defender#
206,1,6,1,0,1,10,1,no,0,2,0,weapon,0	//NPC_LICK#Lick#
207,9,0,1,0,1,10,1,no,0,2,0,magic,0	//NPC_HALLUCINATION#Hallucination#
208,0,0,0,0,0,10,1,no,0,2,0,magic,0	//NPC_REBIRTH#Rebirth#
209,0,0,4,0,1,10,1,no,0,2,0,magic,0	//NPC_SUMMONMONSTER#Summon Monster#

// New Second Class Skills
210,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//RG_SNATCHER#Gank#
211,1,6,1,0,1,10,1,no,0,0,0,weapon,0	//RG_STEALCOIN#Mug#
212,-1,6,1,0,0,10,1,no,0,0,0,weapon,0	//RG_BACKSTAP#Back Stab#
213,0,0,0,0,0,5,0,no,0,0,0,none,0	//RG_TUNNELDRIVE#Stalk#
214,0,6,4,0,1,5,1,no,0,0,0,weapon,0	//RG_RAID#Sightless Raid#
215,1,6,1,0,1,5,1,yes,0,0,0,weapon,0	//RG_STRIPWEAPON#Divest Weapon#
216,1,6,1,0,1,5,1,yes,0,0,0,weapon,0	//RG_STRIPSHIELD#Divest Shield#
217,1,6,1,0,1,5,1,yes,0,0,0,weapon,0	//RG_STRIPARMOR#Divest Armor#
218,1,6,1,0,1,5,1,yes,0,0,0,weapon,0	//RG_STRIPHELM#Divest Helm#
219,-1,6,1,0,0,5,1,no,0,0,0,weapon,0	//RG_INTIMIDATE#Snatch#
220,1,6,2,0,1,1,1,no,0,0,0,none,0	//RG_GRAFFITI#Scribble#
221,0,6,2,0,1,5,1,no,0,0,0,none,0	//RG_FLAGGRAFFITI#Piece#
222,0,6,2,0,1,1,1,no,0,0,0,none,0	//RG_CLEANER#Remover#
223,0,0,0,0,0,1,0,no,0,0,0,none,0	//RG_GANGSTER#Slyness#
224,0,0,0,0,0,5,0,no,0,0,0,none,0	//RG_COMPULSION#Haggle#
225,0,0,0,0,0,10,0,no,0,0,0,none,0	//RG_PLAGIARISM#Intimidate#
226,0,0,0,0,0,10,0,no,0,0,0,weapon,0	//AM_AXEMASTERY#Axe Mastery#
227,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_LEARNINGPOTION#Potion Research#
228,0,6,4,0,1,10,0,no,0,0,0,none,0	//AM_PHARMACY#Prepare Potion#
229,9,6,2,3,1,5,1,no,0,128,0,weapon,0	//AM_DEMONSTRATION#Bomb#
230,9,6,1,0,0,5,0,no,0,0,0,weapon,0	//AM_ACIDTERROR#Acid Terror#
231,9,6,16,0,1,5,1,yes,0,3072,0,none,0	//AM_POTIONPITCHER#Aid Potion#
232,4,6,2,0,1,5,1,no,0,0,5,none,0	//AM_CANNIBALIZE#Summon Flora#
233,1,6,2,0,1,5,1,no,0,128,3,none,0	//AM_SPHEREMINE#Summon Marine Sphere#
234,1,6,16,0,1,5,1,yes,0,0,0,weapon,0	//AM_CP_WEAPON#Alchemical Weapon#
235,1,6,16,0,1,5,1,yes,0,0,0,weapon,0	//AM_CP_SHIELD#Synthesized Shield#
236,1,6,16,0,1,5,1,yes,0,0,0,weapon,0	//AM_CP_ARMOR#Synthetic Armor#
237,1,6,16,0,1,5,1,yes,0,0,0,weapon,0	//AM_CP_HELM#Biochemical Helm#
//238,0,0,0,0,0,1,0,no,0,0,0,none,0	//AM_BIOETHICS#Basis of Life#
//239,0,0,0,0,0,10,0,no,0,0,0,none,0	//AM_BIOTECHNOLOGY#Biotechnology#
//240,0,0,0,0,0,5,0,no,0,0,0,none,0	//AM_CREATECREATURE#Life Creation#
//241,0,0,0,0,0,5,0,no,0,0,0,none,0	//AM_CULTIVATION#Cultivation#
//242,0,0,0,0,0,5,0,no,0,0,0,none,0	//AM_FLAMECONTROL#Flame Control#
